id,y
10001,5.4725
10002,97.775
10003,79.18370833333334
10004,64.675
10005,52.075
10006,14.9875
10007,85.63
10008,44.7775
10009,0.1725
10010,72.265
10011,32.96
10012,177.5
10013,68.015
10014,17.63
10015,50.665
10016,112.8175
10017,120.095
10018,18.8825
10019,101.5225
10020,96.85670833333336
10021,0.2875
10022,59.63
10023,38.882083333333334
10024,68.22
10025,72.6375
10026,117.0625
10027,34.57216666666667
10028,58.1275
10029,97.6025
10030,56.255
10031,1.0125
10032,52.325
10033,37.81
10034,140.52
10035,107.8925
10036,0.035
10037,188.3725
10038,16.5925
10039,24.7675
10040,4.6325
10041,2.1275
10042,50.42
10043,3.255
10044,31.2675
10045,15.5
10046,69.445
10047,104.14
10048,71.37
10049,20.115875000000003
10050,154.9248333333333
10051,84.5975
10052,32.235
10053,23.2875
10054,89.4375
10055,29.045
10056,12.07
10057,123.0225
10058,20.04145833333333
10059,47.535
10060,37.325
10061,72.64
10062,59.85
10063,27.66
10064,14.4075
10065,60.9
10066,0.09
10067,87.045
10068,140.63
10069,95.5925
10070,136.1875
10071,38.485
10072,35.1275
10073,66.2825
10074,111.935
10075,48.315
10076,88.4525
10077,1.93
10078,33.59
10079,99.5475
10080,86.7975
10081,116.52
10082,86.41083333333334
10083,20.5725
10084,52.9
10085,7.475
10086,64.63
10087,22.7475
10088,129.05
10089,18.265
10090,26.0625
10091,61.86625
10092,3.03
10093,111.9225
10094,106.1875
10095,88.1725
10096,72.64
10097,106.465
10098,18.8075
10099,145.84
10100,13.185
10101,75.07
10102,7.17
10103,64.3675
10104,4.835666666666667
10105,1.42
10106,43.65
10107,28.4275
10108,2.14
10109,1.3848333333333336
10110,45.8775
10111,30.00547619047619
10112,87.8375
10113,66.6675
10114,2.1247619047619044
10115,41.87166666666666
10116,79.205
10117,68.7825
10118,7.325
10119,40.76
10120,28.2175
10121,39.965
10122,67.4975
10123,63.4325
10124,9.09
10125,0.0
10126,29.4
10127,7.935
10128,1.84
10129,59.08
10130,44.8725
10131,59.5325
10132,52.26
10133,85.34166666666665
10134,0.0025
10135,53.7875
10136,0.38
10137,7.2175
10138,137.79483333333334
10139,0.1775
10140,123.3375
10141,75.59
10142,27.855
10143,0.2625
10144,6.4
10145,37.14375
10146,36.11
10147,12.83
10148,27.6875
10149,5.43
10150,176.79
10151,138.47375
10152,36.3375
10153,26.977999999999998
10154,64.6
10155,59.955
10156,46.6175
10157,71.8775
10158,52.13708333333334
10159,29.3975
10160,5.35875
10161,87.3735
10162,5.9175
10163,75.055
10164,60.38
10165,33.44
10166,125.82
10167,64.3425
10168,49.68
10169,72.95
10170,56.0475
10171,36.66333333333333
10172,72.48875
10173,57.99625
10174,1.715
10175,84.4275
10176,84.18633333333335
10177,4.885
10178,37.565
10179,116.70725
10180,12.4425
10181,114.31
